stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
PSSN1,"Poisson",,47.19711969,-1.64993055,,,0,PSSN,2
PSUD1,"Pôle sud",,47.18880328,-1.46975714,,,0,PSUD,1
PSUD2,"Pôle sud",,47.18864971,-1.46895354,,,0,PSUD,1
PTBO1,"Petit Bois",,47.18571871,-1.67735585,,,0,PTBO,1
PTBO2,"Petit Bois",,47.18550229,-1.67839662,,,0,PTBO,1
PTCH1,"Patache",,47.27095614,-1.61917944,,,0,PTCH,1
PTCH2,"Patache",,47.27121209,-1.61959538,,,0,PTCH,1
PTEC1,"Polytech'",,47.28083566,-1.51350139,,,0,PTEC,1
PTEC2,"Polytech'",,47.28073259,-1.51389100,,,0,PTEC,1
PTGO1,"Poitou",,47.20924741,-1.46975761,,,0,PTGO,2
PTGO2,"Poitou",,47.20980829,-1.46913668,,,0,PTGO,2
PTIS1,"Plessis Tison",,47.23666684,-1.53346310,,,0,PTIS,1
PTIS2,"Plessis Tison",,47.23657256,-1.53358852,,,0,PTIS,1
PTL98,"CES Petite Lande",,47.17794233,-1.54956064,,,0,PTLA,1
PTNE1,"Platanes",,47.24560617,-1.52471966,,,0,PTNE,1
PTNE2,"Platanes",,47.24532337,-1.52509601,,,0,PTNE,1
PTON1,"Portillon",,47.14966104,-1.46869213,,,0,PTON,2
PTON2,"Portillon",,47.14928857,-1.46906172,,,0,PTON,2
PTON3,"Portillon",,47.14923355,-1.46800167,,,0,PTON,1
PTPS1,"Printemps",,47.18850756,-1.50038685,,,0,PTPS,1
PTPS2,"Printemps",,47.18859741,-1.50039329,,,0,PTPS,1
PTQQ1,"Portricq",,47.26524864,-1.52177247,,,0,PTQQ,1
PTQQ2,"Portricq",,47.26508661,-1.52123154,,,0,PTQQ,1
PTRE1,"Portereau",,47.19211569,-1.47580611,,,0,PTRE,1
PTRE2,"Portereau",,47.19323576,-1.47733928,,,0,PTRE,1
PTRI1,"Patouillerie",,47.24523319,-1.58116812,,,0,PTRI,1
PTRI2,"Patouillerie",,47.24552065,-1.58066012,,,0,PTRI,1
PTSC1,"Petits Champs Blancs",,47.28112281,-1.42008825,,,0,PTSC,2
PTUR1,"Pâtures",,47.30452472,-1.55638729,,,0,PTUR,1
PTUR2,"Pâtures",,47.30443488,-1.55638074,,,0,PTUR,1
PTVI1,"Pâtis Viaud",,47.13867871,-1.45761689,,,0,PTVI,1
PTVI2,"Pâtis Viaud",,47.13877290,-1.45749157,,,0,PTVI,1
PTYY1,"Planty",,47.17526907,-1.49494731,,,0,PTYY,1
PTYY2,"Planty",,47.17535015,-1.49521728,,,0,PTYY,1
PUCH1,"Pluchets",,47.21867087,-1.65444503,,,0,PUCH,1
PUCH2,"Pluchets",,47.21876071,-1.65445173,,,0,PUCH,1
PVIL1,"Petit Village",,47.21700643,-1.65048707,,,0,PVIL,2
PVIL2,"Petit Village",,47.21706433,-1.65141678,,,0,PVIL,2
PVLO1,"Pavillon",,47.14366941,-1.67948603,,,0,PVLO,1
PVLO2,"Pavillon",,47.14358417,-1.67934761,,,0,PVLO,1
PVT95,"Porte de Vertou",,47.18076687,-1.50564438,,,0,PVTO,1
PVT96,"Porte de Vertou",,47.18112627,-1.50567017,,,0,PVTO,1
PVTO1,"Porte de Vertou",,47.18095976,-1.50526192,,,0,PVTO,1
PVTO2,"Porte de Vertou",,47.18069900,-1.50497902,,,0,PVTO,1
PVTO5,"Porte de Vertou",,47.18076687,-1.50564438,,,0,PVTO,1
PVTO6,"Porte de Vertou",,47.18112627,-1.50567017,,,0,PVTO,1
PVTO7,"Porte de Vertou",,47.18051051,-1.50522969,,,0,PVTO,1
PXCE1,"Port aux Cerises",,47.31187743,-1.54129709,,,0,PXCE,2
PXCE2,"Port aux Cerises",,47.31187743,-1.54129709,,,0,PXCE,2
QANT1,"Quai des Antilles",,47.20373747,-1.56980401,,,0,QANT,1
QANT2,"Quai des Antilles",,47.20374641,-1.56954034,,,0,QANT,1
QBNA1,"Quai Brunais",,47.19643837,-1.66957006,,,0,QBNA,2
QBNA2,"Quai Brunais",,47.19619635,-1.66875905,,,0,QBNA,2
QSCO1,"Quai Surcouf",,47.19490685,-1.57788061,,,0,QSCO,1
QSCO2,"Quai Surcouf",,47.19490237,-1.57801242,,,0,QSCO,1
QTNE1,"Quintaine",,47.21663570,-1.46420283,,,0,QTNE,1
QTNE2,"Quintaine",,47.21669222,-1.46248846,,,0,QTNE,1
QTNE3,"Quintaine",,47.21678207,-1.46249484,,,0,QTNE,1
RABI1,"Rabine",,47.26138358,-1.64347712,,,0,RABI,1
RABI2,"Rabine",,47.26110495,-1.64372099,,,0,RABI,2
RAGO1,"Ragon",,47.16511879,-1.54255518,,,0,RAGO,1
RAGO2,"Ragon",,47.16539277,-1.54244296,,,0,RAGO,1
